user_id,signup_date,cohort_month,channel,device,region,user_segment,age,prior_python_score,prior_sql_score,experiment_group,assigned_at,sessions_7d,lessons_started_7d,lessons_completed_7d,study_minutes_7d,activated_7d,paywall_seen,trial_started,paid_14d,monthly_price,revenue_30d,refund_30d,payment_failed,retained_30d,retained_60d,churned_60d,support_tickets_30d,csat,nps_score,quiz_score_after,marketing_spend_user,is_test_account
U000011,2026-03-26,2026-03,organic,mobile_web,Other,career_switcher,18.0,28.8,13.3,smart_onboarding,2026-03-27,4,4,1,88.7,False,True,True,False,0,0.0,False,False,False,False,False,0,,4.0,59.0,0.0,False
U000012,2026-06-26,2026-06,organic,mobile_web,Yekaterinburg,career_switcher,33.0,47.9,48.4,smart_onboarding,2026-06-26,4,7,4,121.1,True,True,True,True,1490,2980.0,False,False,False,False,True,0,,5.0,70.2,0.0,False
U000013,2026-03-01,2026-03,organic,ios,Moscow,student,25.0,30.5,29.8,control,2026-03-01,1,1,1,96.6,False,False,False,False,0,0.0,False,False,False,False,False,0,,10.0,38.6,0.0,False
U000014,2026-05-15,2026-05,paid_social,android,Moscow,student,29.0,50.7,7.8,control,2026-05-16,5,2,1,73.2,False,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,44.2,315.98,False
U000015,2026-01-23,2026-01,paid_social,ios,Moscow,student,19.0,58.5,43.7,smart_onboarding,2026-01-24,7,6,5,152.2,True,True,False,False,0,0.0,False,False,True,True,False,0,,8.0,53.0,500.02,False
U000016,2026-01-27,2026-01,paid_social,mobile_web,Saint Petersburg,career_switcher,31.0,20.8,52.4,smart_onboarding,2026-01-27,5,7,5,175.5,True,True,True,True,1490,2980.0,False,True,True,True,False,0,,6.0,62.2,568.32,False
U000017,2026-03-04,2026-03,paid_social,desktop,Kazan,career_switcher,22.0,48.7,19.9,control,2026-03-05,7,8,6,173.3,True,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,53.7,280.0,False
U000018,2026-03-18,2026-03,paid_social,ios,Other,junior_analyst,37.0,65.3,58.7,control,2026-03-18,4,4,3,99.9,True,True,False,False,0,0.0,False,False,True,True,False,0,,3.0,78.0,635.88,False
U000019,2026-04-15,2026-04,paid_social,android,Novosibirsk,other,29.0,47.4,67.5,smart_onboarding,2026-04-15,7,6,5,222.0,True,True,False,True,1490,1490.0,False,False,True,True,False,0,,9.0,60.6,487.96,False
U000020,2026-06-14,2026-06,paid_search,desktop,Novosibirsk,manager,26.0,15.4,33.8,control,2026-06-14,6,4,2,152.6,True,True,False,True,1990,1990.0,False,False,True,True,False,0,,7.0,55.7,289.17,False
U000021,2026-04-11,2026-04,organic,ios,Kazan,student,38.0,32.3,40.0,smart_onboarding,2026-04-11,2,3,1,66.8,False,True,True,False,0,0.0,False,False,False,False,False,0,,5.0,44.2,0.0,False
U000022,2026-01-04,2026-01,organic,android,Saint Petersburg,other,23.0,56.4,31.4,control,2026-01-04,3,2,0,43.7,False,True,False,False,0,0.0,False,False,False,False,False,0,,8.0,39.3,0.0,False
U000023,2026-01-29,2026-01,organic,android,Kazan,career_switcher,23.0,49.1,47.5,control,2026-01-29,8,10,6,201.4,True,True,False,False,0,0.0,False,False,True,True,False,0,,7.0,66.4,0.0,False
U000024,2026-03-06,2026-03,organic,android,Yekaterinburg,other,26.0,0.0,29.6,smart_onboarding,2026-03-07,3,4,2,139.1,False,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,20.8,0.0,False
U000025,2026-03-19,2026-03,influencer,android,,other,29.0,31.6,13.2,smart_onboarding,2026-03-20,5,6,3,126.2,True,True,False,False,0,0.0,False,False,False,False,False,0,,8.0,49.5,655.35,False
U000026,2026-03-06,2026-03,paid_social,ios,Yekaterinburg,other,29.0,64.6,76.3,control,2026-03-07,2,1,0,213.0,False,True,False,False,0,0.0,False,False,False,False,False,0,,4.0,66.5,432.42,False
U000027,2026-05-09,2026-05,email,mobile_web,Other,junior_analyst,18.0,46.6,57.3,smart_onboarding,2026-05-09,3,6,5,147.1,True,True,False,False,0,0.0,False,False,False,False,False,1,3.0,8.0,90.2,69.94,False
U000028,2026-02-09,2026-02,influencer,android,Saint Petersburg,career_switcher,35.0,64.2,63.6,smart_onboarding,2026-02-09,6,3,1,115.8,False,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,56.5,378.63,False
U000029,2026-01-19,2026-01,paid_search,android,Moscow,student,18.0,53.9,79.9,smart_onboarding,2026-01-19,3,2,2,71.4,False,True,False,False,0,0.0,False,False,True,True,False,0,,0.0,77.3,515.34,False
U000030,2026-03-14,2026-03,influencer,desktop,Saint Petersburg,career_switcher,26.0,22.1,40.0,control,2026-03-15,3,3,1,69.7,False,True,False,False,0,0.0,False,False,False,False,False,0,,10.0,30.2,644.87,False
U000031,2026-03-28,2026-03,paid_social,desktop,Kazan,career_switcher,24.0,5.0,52.2,control,2026-03-28,3,4,2,68.4,False,True,True,True,1490,1490.0,False,False,True,False,True,0,,6.0,57.8,235.21,False
U000032,2026-03-09,2026-03,paid_search,android,Kazan,career_switcher,24.0,58.7,40.2,control,2026-03-09,2,2,1,41.9,False,True,False,False,0,0.0,False,False,False,False,False,0,,6.0,57.6,324.8,False
U000033,2026-01-16,2026-01,paid_social,android,Other,junior_analyst,27.0,58.5,28.5,control,2026-01-17,3,1,1,60.8,False,True,False,False,0,0.0,False,False,False,False,False,0,,8.0,61.7,496.52,False
U000034,2026-01-19,2026-01,organic,ios,Kazan,student,23.0,50.0,47.8,control,2026-01-20,2,3,1,66.2,False,True,False,False,0,0.0,False,False,False,False,False,0,,8.0,58.2,0.0,False
U000035,2026-02-10,2026-02,paid_search,desktop,Moscow,student,26.0,66.1,52.1,smart_onboarding,2026-02-10,8,6,2,169.7,True,True,True,False,0,0.0,False,False,True,False,False,0,,5.0,63.4,518.53,False
U000036,2026-01-30,2026-01,referral,desktop,Saint Petersburg,manager,41.0,67.4,36.9,smart_onboarding,2026-01-31,8,6,4,161.1,True,True,False,False,0,0.0,False,False,True,False,False,1,3.0,10.0,58.3,169.15,False
U000037,2026-03-12,2026-03,referral,ios,Other,career_switcher,21.0,54.5,34.5,control,2026-03-13,9,7,6,213.1,True,True,True,True,1490,1490.0,False,False,True,True,False,0,,5.0,66.4,129.47,False
U000038,2026-06-08,2026-06,referral,android,Moscow,junior_analyst,29.0,72.9,81.4,control,2026-06-08,6,5,5,148.9,True,True,False,False,0,0.0,False,False,False,False,False,0,,4.0,100.0,154.97,False
U000039,2026-05-25,2026-05,paid_search,mobile_web,Other,career_switcher,29.0,22.0,50.7,smart_onboarding,2026-05-26,11,9,4,154.2,True,True,False,True,990,990.0,False,True,False,False,True,1,4.0,6.0,53.8,549.19,False
U000040,2026-06-25,2026-06,organic,mobile_web,Moscow,career_switcher,39.0,24.2,34.3,smart_onboarding,2026-06-26,6,8,4,144.8,True,True,False,True,1490,1490.0,False,False,False,False,True,0,,10.0,57.7,0.0,False
U000041,2026-03-08,2026-03,paid_social,android,Moscow,junior_analyst,26.0,42.2,61.9,control,2026-03-08,6,6,2,133.3,True,True,True,False,0,0.0,False,False,False,False,False,0,,10.0,81.0,486.21,False
U000042,2026-05-13,2026-05,referral,ios,Saint Petersburg,student,21.0,29.2,43.7,smart_onboarding,2026-05-13,9,8,5,178.7,True,True,False,False,0,0.0,False,True,False,False,False,0,,7.0,62.2,84.83,False
U000043,2026-03-27,2026-03,paid_social,ios,Other,other,27.0,11.9,16.0,control,2026-03-28,4,7,2,93.8,True,True,False,True,990,990.0,False,False,True,True,False,0,,9.0,39.4,433.43,False
U000044,2026-01-15,2026-01,organic,mobile_web,Moscow,manager,26.0,52.3,63.2,control,2026-01-16,5,3,1,66.6,False,True,False,False,0,0.0,False,False,False,False,False,0,,6.0,53.5,0.0,False
U000045,2026-03-08,2026-03,paid_social,android,Other,career_switcher,27.0,28.6,19.8,smart_onboarding,2026-03-09,6,10,7,202.0,True,True,False,False,0,0.0,False,False,True,False,False,0,,5.0,66.1,263.44,False
U000046,2026-05-30,2026-05,influencer,android,Other,career_switcher,21.0,61.5,43.0,control,2026-05-31,5,6,5,148.0,True,True,False,False,0,0.0,False,False,False,False,False,0,,6.0,60.7,361.56,False
U000047,2026-03-06,2026-03,email,ios,Moscow,career_switcher,28.0,56.7,14.7,control,2026-03-06,7,6,3,147.8,True,True,False,True,990,990.0,False,False,True,True,False,0,,6.0,54.3,109.55,False
U000048,2026-01-14,2026-01,organic,mobile_web,Yekaterinburg,junior_analyst,29.0,57.4,24.8,control,2026-01-14,7,8,3,162.0,True,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,61.5,0.0,False
U000049,2026-05-04,2026-05,organic,ios,Novosibirsk,other,32.0,43.7,20.0,control,2026-05-05,3,3,1,71.2,False,True,False,False,0,0.0,False,False,True,True,False,0,,6.0,45.9,0.0,False
U000050,2026-02-18,2026-02,paid_social,mobile_web,Yekaterinburg,junior_analyst,26.0,67.5,63.6,control,2026-02-18,6,5,4,153.1,True,True,False,False,0,0.0,False,False,False,False,False,1,4.0,7.0,79.2,215.97,False
U000051,2026-02-05,2026-02,paid_search,desktop,Moscow,career_switcher,31.0,43.2,26.9,smart_onboarding,2026-02-05,1,2,2,117.5,False,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,66.8,547.87,False
U000052,2026-05-12,2026-05,organic,desktop,Other,junior_analyst,18.0,78.8,65.5,smart_onboarding,2026-05-12,3,5,5,126.6,True,True,True,False,0,0.0,False,False,True,False,False,0,,7.0,90.8,0.0,False
U000053,2026-02-15,2026-02,organic,ios,Moscow,student,30.0,47.4,26.2,smart_onboarding,2026-02-15,4,3,2,109.9,True,True,True,False,0,0.0,False,False,True,False,False,0,,7.0,41.4,0.0,False
U000054,2026-01-17,2026-01,paid_search,android,Moscow,manager,18.0,23.1,73.0,smart_onboarding,2026-01-17,3,2,0,133.6,False,True,False,False,0,0.0,False,False,False,False,False,0,,3.0,57.9,389.14,False
U000055,2026-05-15,2026-05,organic,mobile_web,Saint Petersburg,other,27.0,77.1,49.5,smart_onboarding,2026-05-15,3,4,2,131.2,False,True,False,False,0,0.0,False,False,True,False,False,0,,4.0,70.8,0.0,False
U000056,2026-04-21,2026-04,organic,ios,Yekaterinburg,career_switcher,38.0,54.5,33.8,control,2026-04-22,3,4,3,126.6,True,True,False,False,0,0.0,False,False,True,False,False,0,,6.0,61.5,0.0,False
U000057,2026-04-22,2026-04,paid_search,desktop,Other,other,33.0,75.5,62.2,smart_onboarding,2026-04-23,6,6,5,225.8,True,True,False,False,0,0.0,False,False,True,False,False,0,,8.0,100.0,609.08,False
U000058,2026-05-12,2026-05,paid_search,mobile_web,Saint Petersburg,career_switcher,33.0,51.7,47.1,control,2026-05-12,2,4,3,119.4,True,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,77.2,658.1,False
U000059,2026-04-07,2026-04,paid_social,android,Saint Petersburg,career_switcher,27.0,61.2,34.1,smart_onboarding,2026-04-07,4,4,1,103.3,False,True,True,True,1490,1490.0,False,False,False,False,True,0,,5.0,50.2,410.96,False
U000060,2026-02-05,2026-02,referral,ios,Saint Petersburg,career_switcher,31.0,22.5,0.0,control,2026-02-06,3,4,2,77.7,False,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,45.3,93.28,False
U000061,2026-03-05,2026-03,email,ios,Moscow,career_switcher,34.0,40.8,27.2,control,2026-03-05,2,2,1,117.4,False,True,False,False,0,0.0,False,False,False,False,False,0,,4.0,38.3,69.57,False
U000062,2026-06-24,2026-06,organic,desktop,Moscow,student,24.0,34.2,29.7,smart_onboarding,2026-06-24,4,6,3,162.5,True,True,True,False,0,0.0,False,False,True,False,False,0,,7.0,43.0,0.0,False
U000063,2026-04-09,2026-04,organic,desktop,Moscow,career_switcher,35.0,22.2,19.7,smart_onboarding,2026-04-10,5,5,3,199.6,True,True,False,True,990,990.0,True,False,True,True,False,1,3.0,6.0,58.1,0.0,False
U000064,2026-06-02,2026-06,referral,android,Moscow,manager,27.0,49.6,42.4,smart_onboarding,2026-06-02,3,4,2,88.3,False,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,37.7,153.47,False
U000065,2026-01-30,2026-01,referral,ios,Novosibirsk,junior_analyst,19.0,44.3,60.5,smart_onboarding,2026-01-31,6,4,2,181.7,True,True,False,False,0,0.0,False,False,False,False,False,0,,8.0,50.2,150.28,False
U000066,2026-06-28,2026-06,referral,ios,Saint Petersburg,junior_analyst,18.0,54.6,23.8,smart_onboarding,2026-06-28,7,12,7,206.5,True,True,False,False,0,0.0,False,False,True,False,False,0,,7.0,76.4,193.72,False
U000067,2026-03-29,2026-03,organic,ios,Other,student,34.0,48.2,51.2,smart_onboarding,2026-03-30,6,9,5,138.3,True,True,True,False,0,0.0,False,True,False,False,False,1,5.0,5.0,65.0,0.0,False
U000068,2026-06-23,2026-06,email,ios,Moscow,student,30.0,70.6,19.9,smart_onboarding,2026-06-24,3,7,4,110.0,True,True,False,False,0,0.0,False,False,True,False,False,0,,8.0,54.7,74.66,True
U000069,2026-04-06,2026-04,referral,mobile_web,Other,manager,29.0,52.3,55.6,control,2026-04-07,5,10,5,174.6,True,True,False,True,990,990.0,False,False,False,False,True,2,5.0,9.0,63.5,171.93,False
U000070,2026-04-12,2026-04,paid_social,android,Other,student,34.0,34.7,17.2,smart_onboarding,2026-04-12,6,8,3,118.2,True,True,True,False,0,0.0,False,False,False,False,False,0,,5.0,33.8,308.08,False
U000071,2026-04-03,2026-04,paid_social,desktop,Other,career_switcher,26.0,48.8,44.6,smart_onboarding,2026-04-04,7,6,4,191.6,True,True,False,True,990,990.0,False,False,False,False,True,0,,7.0,77.1,286.9,False
U000072,2026-05-26,2026-05,paid_social,desktop,Other,junior_analyst,38.0,36.8,52.2,control,2026-05-26,7,8,6,175.4,True,True,True,True,990,990.0,False,False,True,True,False,1,5.0,5.0,69.9,408.42,False
U000073,2026-05-18,2026-05,paid_search,android,Moscow,career_switcher,26.0,35.4,27.2,smart_onboarding,2026-05-19,2,1,0,32.1,False,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,33.3,472.16,False
U000074,2026-03-07,2026-03,organic,android,Novosibirsk,student,42.0,26.6,23.9,smart_onboarding,2026-03-07,4,2,1,53.9,False,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,26.6,0.0,False
U000075,2026-06-02,2026-06,organic,mobile_web,Other,career_switcher,26.0,36.9,56.3,smart_onboarding,2026-06-02,4,5,4,188.0,True,True,False,False,0,0.0,False,False,True,False,False,0,,3.0,72.4,0.0,False
U000076,2026-01-24,2026-01,paid_search,ios,Moscow,student,26.0,30.1,63.0,smart_onboarding,2026-01-25,7,4,1,94.0,False,True,False,False,0,0.0,False,False,False,False,False,0,,10.0,40.1,516.47,False
U000077,2026-03-12,2026-03,organic,desktop,Yekaterinburg,junior_analyst,31.0,77.7,37.6,smart_onboarding,2026-03-13,5,5,5,184.1,True,True,False,True,1490,1490.0,False,False,True,False,True,0,,10.0,75.9,0.0,False
U000078,2026-02-07,2026-02,organic,android,Yekaterinburg,career_switcher,31.0,54.2,52.8,control,2026-02-07,2,3,3,118.2,True,True,False,False,0,0.0,False,False,False,False,False,0,,10.0,49.9,0.0,False
U000079,2026-06-16,2026-06,email,desktop,Novosibirsk,career_switcher,28.0,40.6,47.4,control,2026-06-17,10,9,3,177.3,True,True,False,False,0,0.0,False,False,True,True,False,0,,9.0,45.7,75.51,False
U000080,2026-01-05,2026-01,referral,android,Moscow,student,37.0,60.2,10.9,control,2026-01-06,5,6,4,124.8,True,True,False,False,0,0.0,False,False,True,True,False,0,,4.0,71.7,145.04,False
U000081,2026-03-13,2026-03,referral,android,Other,career_switcher,27.0,47.4,54.8,control,2026-03-13,7,10,7,202.9,True,True,True,True,1990,1990.0,True,False,True,False,True,0,,8.0,97.6,141.05,False
U000082,2026-01-13,2026-01,referral,desktop,Yekaterinburg,junior_analyst,41.0,59.4,89.3,smart_onboarding,2026-01-13,7,5,5,197.1,True,True,True,True,990,990.0,False,False,True,False,True,0,,10.0,97.2,130.69,False
U000083,2026-06-14,2026-06,organic,ios,Moscow,career_switcher,36.0,54.1,48.6,control,2026-06-14,5,10,5,151.2,True,True,True,True,1490,1490.0,False,False,True,True,False,0,,7.0,88.1,0.0,False
U000084,2026-06-13,2026-06,organic,desktop,Other,career_switcher,32.0,78.1,49.5,smart_onboarding,2026-06-13,2,4,2,94.5,False,True,False,False,0,0.0,False,False,False,False,False,0,,10.0,68.7,0.0,False
U000085,2026-02-06,2026-02,organic,ios,Saint Petersburg,junior_analyst,27.0,37.5,41.8,smart_onboarding,2026-02-06,4,7,4,114.5,True,True,False,False,0,0.0,False,False,True,False,False,0,,8.0,59.8,0.0,False
U000086,2026-06-09,2026-06,referral,ios,Kazan,junior_analyst,,72.4,67.5,smart_onboarding,2026-06-10,9,10,8,251.6,True,True,False,False,0,0.0,False,False,True,True,False,0,,5.0,90.4,127.02,False
U000087,2026-05-15,2026-05,paid_social,android,Saint Petersburg,career_switcher,25.0,24.3,33.7,smart_onboarding,2026-05-16,5,4,1,136.8,False,True,False,False,0,0.0,False,False,False,False,False,0,,6.0,59.0,106.49,False
U000088,2026-04-15,2026-04,paid_search,ios,Novosibirsk,career_switcher,30.0,56.4,39.6,smart_onboarding,2026-04-16,5,3,3,138.0,True,True,False,False,0,0.0,False,True,True,False,False,0,,7.0,58.4,547.19,False
U000089,2026-05-17,2026-05,email,android,Saint Petersburg,junior_analyst,26.0,74.2,51.7,control,2026-05-17,6,9,8,230.4,True,True,False,False,0,0.0,False,False,True,True,False,0,,7.0,100.0,86.27,False
U000090,2026-02-11,2026-02,referral,mobile_web,Saint Petersburg,junior_analyst,32.0,15.4,61.5,control,2026-02-12,5,9,5,150.4,True,True,False,False,0,0.0,False,False,True,False,False,0,,6.0,64.5,171.37,False
U000091,2026-03-27,2026-03,organic,desktop,Moscow,career_switcher,24.0,55.6,56.1,control,2026-03-27,6,5,1,76.7,False,True,False,True,1990,1990.0,False,False,False,False,True,0,,6.0,43.0,0.0,False
U000092,2026-02-28,2026-02,paid_search,android,Moscow,career_switcher,38.0,63.4,29.6,smart_onboarding,2026-03-01,2,2,1,78.5,False,True,False,False,0,0.0,False,False,False,False,False,0,,4.0,62.6,524.38,False
U000093,2026-02-04,2026-02,paid_social,desktop,Moscow,career_switcher,36.0,30.8,19.3,control,2026-02-05,3,4,2,98.6,False,True,False,False,0,0.0,False,False,False,False,False,0,,8.0,30.6,533.11,False
U000094,2026-01-23,2026-01,influencer,mobile_web,Yekaterinburg,manager,35.0,54.7,45.3,control,2026-01-23,2,2,2,157.7,False,True,False,False,0,0.0,False,False,True,True,False,0,,6.0,49.2,566.76,False
U000095,2026-06-20,2026-06,paid_search,mobile_web,Novosibirsk,career_switcher,34.0,65.6,19.0,smart_onboarding,2026-06-21,5,4,2,130.4,True,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,58.8,562.18,False
U000096,2026-03-02,2026-03,organic,desktop,Yekaterinburg,other,24.0,40.9,49.9,smart_onboarding,2026-03-03,3,4,2,126.8,False,True,False,False,0,0.0,False,False,False,False,False,0,,3.0,40.2,0.0,False
U000097,2026-01-19,2026-01,email,android,Novosibirsk,manager,29.0,32.7,75.6,smart_onboarding,2026-01-20,3,1,1,193.3,False,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,41.5,62.21,False
U000098,2026-02-01,2026-02,influencer,android,Moscow,career_switcher,30.0,75.8,27.8,smart_onboarding,2026-02-01,9,6,5,187.9,True,True,True,True,990,990.0,False,False,True,True,False,0,,6.0,70.0,659.78,False
U000099,2026-06-21,2026-06,organic,mobile_web,Saint Petersburg,manager,28.0,11.8,42.5,control,2026-06-22,1,1,0,87.9,False,False,False,False,0,0.0,False,False,False,False,False,1,4.0,4.0,31.5,0.0,False
U000100,2026-02-12,2026-02,paid_social,ios,Other,junior_analyst,26.0,52.6,51.6,control,2026-02-13,6,1,1,111.9,False,True,True,False,0,0.0,False,False,False,False,False,0,,6.0,50.4,594.7,False
U000101,2026-04-21,2026-04,organic,ios,Moscow,manager,25.0,24.6,48.9,smart_onboarding,2026-04-21,4,6,4,161.5,True,True,False,False,0,0.0,False,False,True,True,False,0,,7.0,63.5,0.0,False
U000102,2026-05-25,2026-05,paid_social,mobile_web,Other,junior_analyst,31.0,39.9,49.4,control,2026-05-25,5,7,5,162.2,True,True,False,False,0,0.0,False,True,False,False,False,0,,7.0,52.5,260.89,False
U000103,2026-05-16,2026-05,referral,desktop,Kazan,career_switcher,30.0,35.2,14.6,smart_onboarding,2026-05-16,7,7,5,207.2,True,True,True,True,990,990.0,False,False,False,False,True,0,,9.0,39.3,93.51,False
U000104,2026-05-11,2026-05,organic,android,Saint Petersburg,manager,22.0,33.7,43.6,control,2026-05-11,1,0,0,61.7,False,False,False,False,0,0.0,False,False,False,False,False,0,,7.0,34.1,0.0,False
U000105,2026-04-23,2026-04,referral,ios,Moscow,manager,21.0,51.0,17.0,smart_onboarding,2026-04-24,5,7,6,162.4,True,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,61.8,166.93,False
U000106,2026-04-13,2026-04,referral,desktop,Moscow,career_switcher,33.0,65.2,72.6,smart_onboarding,2026-04-14,10,11,7,264.6,True,True,False,False,0,0.0,False,False,True,False,False,0,,9.0,96.3,109.77,False
U000107,2026-05-25,2026-05,paid_search,android,Novosibirsk,other,23.0,64.3,8.9,control,2026-05-25,5,7,3,140.3,True,True,False,False,0,0.0,False,False,False,False,False,0,,5.0,49.9,507.41,False
U000108,2026-01-06,2026-01,influencer,desktop,Novosibirsk,career_switcher,33.0,24.8,43.4,control,2026-01-06,4,4,2,162.9,True,True,False,False,0,0.0,False,False,False,False,False,0,,9.0,21.6,691.46,False
U000109,2026-06-24,2026-06,paid_search,mobile_web,Other,career_switcher,30.0,48.7,56.0,smart_onboarding,2026-06-25,5,8,4,198.3,True,True,True,True,1990,1990.0,False,False,True,True,False,0,,9.0,62.8,732.83,False
U000110,2026-06-09,2026-06,organic,ios,Moscow,manager,32.0,18.5,39.3,control,2026-06-09,4,4,2,81.3,True,True,True,True,1490,1490.0,False,False,True,True,False,0,,8.0,34.7,0.0,False
U000111,2026-04-20,2026-04,email,desktop,Novosibirsk,manager,18.0,19.5,29.4,smart_onboarding,2026-04-20,4,2,1,124.6,False,True,False,False,0,0.0,False,False,True,False,False,0,,6.0,24.3,65.25,False
U000112,2026-05-09,2026-05,organic,android,Other,other,32.0,70.0,12.1,control,2026-05-10,3,6,3,113.9,True,True,True,True,1990,1990.0,False,False,True,True,False,0,,10.0,66.2,0.0,False
U000113,2026-05-23,2026-05,paid_search,ios,Other,career_switcher,32.0,54.9,46.3,smart_onboarding,2026-05-23,4,4,3,123.6,True,True,True,False,0,0.0,False,False,True,False,False,0,,6.0,79.6,523.5,False
U000114,2026-02-19,2026-02,email,desktop,Other,career_switcher,21.0,46.5,34.0,smart_onboarding,2026-02-19,7,7,1,91.3,False,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,48.2,54.33,False
U000115,2026-01-29,2026-01,email,android,Moscow,manager,28.0,49.7,47.9,smart_onboarding,2026-01-29,5,1,1,104.5,False,True,False,False,0,0.0,False,False,False,False,False,0,,10.0,46.8,54.91,False
U000116,2026-01-14,2026-01,organic,ios,,junior_analyst,31.0,27.6,54.9,control,2026-01-14,6,8,7,197.8,True,True,True,False,0,0.0,False,False,False,False,False,0,,4.0,71.4,0.0,False
U000117,2026-02-06,2026-02,organic,desktop,Other,career_switcher,26.0,37.5,33.8,smart_onboarding,2026-02-06,7,6,3,155.9,True,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,41.4,0.0,False
U000118,2026-03-20,2026-03,organic,desktop,Other,student,,45.4,5.9,control,2026-03-20,2,4,3,97.4,True,True,True,False,0,0.0,False,False,True,True,False,0,,8.0,42.2,0.0,False
U000119,2026-01-07,2026-01,paid_social,desktop,Novosibirsk,manager,32.0,0.0,53.9,control,2026-01-08,4,9,2,104.3,True,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,42.1,412.67,False
U000120,2026-05-01,2026-05,referral,ios,Novosibirsk,student,27.0,46.6,51.4,smart_onboarding,2026-05-02,6,7,6,166.1,True,True,True,True,990,990.0,False,False,True,True,False,0,,6.0,73.8,211.74,False
U000121,2026-05-17,2026-05,paid_search,mobile_web,Saint Petersburg,career_switcher,22.0,43.0,25.2,smart_onboarding,2026-05-17,3,4,3,196.4,True,True,True,True,1990,3980.0,False,False,True,True,False,0,,8.0,71.2,368.1,False
U000122,2026-04-20,2026-04,email,desktop,Other,junior_analyst,26.0,43.1,86.4,smart_onboarding,2026-04-21,1,1,1,69.2,False,False,True,False,0,0.0,False,False,False,False,False,0,,7.0,63.9,69.46,False
U000123,2026-05-28,2026-05,organic,desktop,Kazan,student,23.0,31.0,63.8,control,2026-05-28,3,4,4,225.8,True,True,False,False,0,0.0,False,False,False,False,False,0,,8.0,59.8,0.0,False
U000124,2026-03-13,2026-03,email,ios,Moscow,junior_analyst,28.0,65.0,72.6,control,2026-03-14,5,8,4,128.4,True,True,False,False,0,0.0,False,False,True,True,False,1,3.0,6.0,92.6,72.96,False
