payment_id,user_id,payment_date,payment_status,amount,monthly_price
PAY000056,U000231,2026-02-04,paid,990.0,990
PAY000057,U000240,2026-06-04,paid,1490.0,1490
PAY000058,U000241,2026-03-28,paid,1990.0,1990
PAY000059,U000242,2026-02-19,paid,1990.0,1990
PAY000060,U000248,2026-05-07,paid,2990.0,2990
PAY000061,U000250,2026-04-03,paid,3960.0,990
PAY000062,U000253,2026-06-27,paid,990.0,990
PAY000063,U000256,2026-05-07,paid,1490.0,1490
PAY000064,U000262,2026-03-27,paid,990.0,990
PAY000065,U000263,2026-02-13,paid,1490.0,1490
PAY000066,U000265,2026-05-11,paid,1990.0,1990
PAY000067,U000273,2026-01-30,paid,2990.0,2990
PAY000068,U000277,2026-06-06,paid,990.0,990
PAY000069,U000280,2026-06-19,paid,1490.0,1490
PAY000070,U000286,2026-02-24,refunded,1490.0,1490
PAY000071,U000294,2026-05-25,paid,1490.0,1490
PAY000072,U000298,2026-03-19,paid,990.0,990
PAY000073,U000304,2026-01-08,paid,990.0,990
PAY000074,U000308,2026-03-26,paid,1990.0,1990
PAY000075,U000309,2026-02-17,paid,1990.0,1990
PAY000076,U000312,2026-06-08,paid,1490.0,1490
PAY000077,U000316,2026-02-26,paid,1990.0,1990
PAY000078,U000321,2026-04-02,refunded,990.0,990
PAY000079,U000323,2026-04-02,paid,3980.0,1990
PAY000080,U000325,2026-02-26,paid,1490.0,1490
PAY000081,U000326,2026-04-15,paid,990.0,990
PAY000082,U000329,2026-03-22,paid,1490.0,1490
PAY000083,U000336,2026-05-12,paid,1490.0,1490
PAY000084,U000338,2026-06-22,paid,1990.0,1990
PAY000085,U000341,2026-01-18,paid,2990.0,2990
PAY000086,U000350,2026-02-28,paid,990.0,990
PAY000087,U000352,2026-03-23,refunded,990.0,990
PAY000088,U000357,2026-05-19,paid,1990.0,1990
PAY000089,U000366,2026-07-02,paid,1990.0,1990
PAY000090,U000382,2026-04-02,paid,1490.0,1490
PAY000091,U000383,2026-03-31,paid,990.0,990
PAY000092,U000385,2026-01-07,paid,990.0,990
PAY000093,U000389,2026-02-22,paid,990.0,990
PAY000094,U000394,2026-01-12,paid,1990.0,1990
PAY000095,U000407,2026-01-23,paid,1490.0,1490
PAY000096,U000414,2026-03-08,paid,1490.0,1490
PAY000097,U000417,2026-01-22,paid,2990.0,2990
PAY000098,U000424,2026-02-07,paid,1490.0,1490
PAY000099,U000439,2026-04-24,paid,990.0,990
PAY000100,U000445,2026-03-17,paid,2980.0,1490
PAY000101,U000455,2026-03-07,paid,1990.0,1990
PAY000102,U000456,2026-01-10,paid,990.0,990
PAY000103,U000457,2026-06-24,paid,990.0,990
PAY000104,U000465,2026-04-12,paid,990.0,990
PAY000105,U000467,2026-05-14,paid,1490.0,1490
PAY000106,U000475,2026-06-21,paid,1490.0,1490
PAY000107,U000486,2026-06-27,paid,2980.0,1490
PAY000108,U000492,2026-05-09,paid,990.0,990
PAY000109,U000500,2026-03-14,paid,2990.0,2990
PAY000110,U000508,2026-05-20,refunded,2980.0,1490
PAY000111,U000511,2026-06-02,paid,1490.0,1490
PAY000112,U000516,2026-06-30,paid,990.0,990
PAY000113,U000518,2026-01-29,paid,990.0,990
PAY000114,U000519,2026-04-05,paid,1990.0,1990
PAY000115,U000550,2026-07-02,paid,1990.0,1990
PAY000116,U000551,2026-05-14,paid,990.0,990
PAY000117,U000557,2026-03-11,paid,2990.0,2990
PAY000118,U000558,2026-02-10,refunded,1990.0,1990
PAY000119,U000572,2026-03-20,paid,990.0,990
PAY000120,U000588,2026-04-22,paid,1990.0,1990
PAY000121,U000589,2026-06-25,paid,990.0,990
PAY000122,U000594,2026-06-26,paid,1490.0,1490
PAY000123,U000596,2026-04-09,paid,990.0,990
PAY000124,U000601,2026-05-04,paid,5980.0,2990
PAY000125,U000602,2026-07-03,paid,2990.0,2990
PAY000126,U000606,2026-05-31,paid,990.0,990
PAY000127,U000627,2026-03-07,paid,2990.0,2990
PAY000128,U000628,2026-04-17,paid,1490.0,1490
PAY000129,U000630,2026-02-12,paid,990.0,990
PAY000130,U000637,2026-03-19,paid,1490.0,1490
PAY000131,U000638,2026-04-11,paid,2980.0,1490
PAY000132,U000640,2026-03-23,paid,1990.0,1990
PAY000133,U000642,2026-02-04,refunded,1490.0,1490
PAY000134,U000643,2026-01-25,paid,11960.0,2990
PAY000135,U000653,2026-06-17,paid,990.0,990
PAY000136,U000654,2026-06-02,paid,990.0,990
PAY000137,U000656,2026-04-06,paid,1490.0,1490
PAY000138,U000673,2026-05-13,paid,1990.0,1990
PAY000139,U000679,2026-07-01,paid,990.0,990
PAY000140,U000682,2026-06-16,paid,990.0,990
PAY000141,U000683,2026-03-25,paid,2990.0,2990
PAY000142,U000687,2026-04-16,refunded,990.0,990
PAY000143,U000701,2026-02-12,paid,1490.0,1490
PAY000144,U000704,2026-04-13,paid,1490.0,1490
PAY000145,U000707,2026-03-16,paid,1490.0,1490
PAY000146,U000710,2026-03-09,paid,1980.0,990
PAY000147,U000726,2026-04-25,paid,990.0,990
PAY000148,U000735,2026-02-14,paid,1990.0,1990
PAY000149,U000736,2026-06-28,paid,990.0,990
PAY000150,U000737,2026-06-09,paid,990.0,990
PAY000151,U000743,2026-03-10,paid,990.0,990
PAY000152,U000746,2026-03-28,refunded,1490.0,1490
PAY000153,U000749,2026-03-03,paid,990.0,990
PAY000154,U000751,2026-07-01,paid,2990.0,2990
PAY000155,U000756,2026-04-15,paid,990.0,990
PAY000156,U000757,2026-03-08,paid,1490.0,1490
PAY000157,U000759,2026-05-06,paid,1990.0,1990
PAY000158,U000760,2026-05-16,paid,990.0,990
PAY000159,U000763,2026-02-18,paid,2990.0,2990
PAY000160,U000764,2026-05-30,paid,1490.0,1490
PAY000161,U000767,2026-05-18,paid,1990.0,1990
PAY000162,U000772,2026-03-24,paid,990.0,990
PAY000163,U000773,2026-04-22,paid,990.0,990
PAY000164,U000774,2026-04-26,paid,1490.0,1490
PAY000165,U000780,2026-04-27,paid,1990.0,1990
PAY000166,U000781,2026-02-08,paid,1990.0,1990
PAY000167,U000782,2026-02-26,paid,1990.0,1990
PAY000168,U000787,2026-05-20,paid,2990.0,2990
PAY000169,U000794,2026-06-11,paid,1990.0,1990
PAY000170,U000795,2026-03-21,paid,1990.0,1990
PAY000171,U000799,2026-02-26,paid,990.0,990
PAY000172,U000808,2026-06-28,paid,1490.0,1490
PAY000173,U000809,2026-05-23,paid,1490.0,1490
PAY000174,U000812,2026-04-20,paid,1490.0,1490
PAY000175,U000817,2026-01-31,paid,1490.0,1490
PAY000176,U000818,2026-02-24,paid,2990.0,2990
PAY000177,U000819,2026-05-31,paid,990.0,990
PAY000178,U000828,2026-03-23,refunded,990.0,990
PAY000179,U000832,2026-07-08,paid,1490.0,1490
PAY000180,U000834,2026-04-02,paid,3980.0,1990
PAY000181,U000836,2026-03-29,refunded,990.0,990
PAY000182,U000844,2026-06-27,paid,1490.0,1490
PAY000183,U000856,2026-03-09,paid,1490.0,1490
PAY000184,U000868,2026-01-30,paid,2990.0,2990
PAY000185,U000870,2026-04-05,paid,990.0,990
PAY000186,U000871,2026-03-10,paid,990.0,990
PAY000187,U000875,2026-02-22,paid,990.0,990
PAY000188,U000877,2026-03-15,paid,1490.0,1490
PAY000189,U000880,2026-06-05,paid,1490.0,1490
PAY000190,U000889,2026-07-01,paid,1490.0,1490
PAY000191,U000891,2026-05-28,paid,990.0,990
PAY000192,U000899,2026-05-11,paid,1490.0,1490
PAY000193,U000900,2026-04-22,paid,1980.0,990
PAY000194,U000903,2026-05-19,paid,1490.0,1490
PAY000195,U000904,2026-06-27,paid,5960.0,1490
PAY000196,U000906,2026-04-12,paid,1490.0,1490
PAY000197,U000914,2026-06-24,paid,1490.0,1490
PAY000198,U000927,2026-05-29,paid,990.0,990
PAY000199,U000928,2026-02-20,refunded,990.0,990
PAY000200,U000931,2026-01-15,paid,1490.0,1490
PAY000201,U000935,2026-01-18,paid,1990.0,1990
PAY000202,U000938,2026-01-18,paid,3980.0,1990
PAY000203,U000942,2026-03-01,paid,1490.0,1490
PAY000204,U000947,2026-02-23,paid,1990.0,1990
PAY000205,U000948,2026-03-29,paid,990.0,990
PAY000206,U000954,2026-03-27,paid,1990.0,1990
PAY000207,U000955,2026-04-11,paid,990.0,990
PAY000208,U000966,2026-05-01,paid,990.0,990
PAY000209,U000983,2026-06-03,paid,1490.0,1490
PAY000210,U000985,2026-04-08,paid,2990.0,2990
PAY000211,U000988,2026-06-14,paid,990.0,990
PAY000212,U000991,2026-06-05,paid,3960.0,990
PAY000213,U000997,2026-02-20,paid,1490.0,1490
PAY000214,U001000,2026-06-02,paid,2990.0,2990
PAY000215,U001006,2026-06-29,paid,1490.0,1490
PAY000216,U001011,2026-03-12,paid,990.0,990
PAY000217,U001017,2026-05-20,paid,1990.0,1990
PAY000218,U001023,2026-02-20,paid,1990.0,1990
PAY000219,U001037,2026-01-15,paid,1990.0,1990
PAY000220,U001038,2026-03-21,paid,1490.0,1490
PAY000221,U001041,2026-03-21,paid,1990.0,1990
PAY000222,U001053,2026-05-25,paid,1990.0,1990
PAY000223,U001056,2026-03-13,paid,1490.0,1490
PAY000224,U001070,2026-04-24,paid,990.0,990
PAY000225,U001071,2026-05-24,paid,1490.0,1490
PAY000226,U001075,2026-02-20,paid,1490.0,1490
PAY000227,U001082,2026-04-26,paid,1490.0,1490
PAY000228,U001084,2026-01-07,paid,1990.0,1990
PAY000229,U001085,2026-06-27,paid,990.0,990
PAY000230,U001086,2026-02-28,paid,990.0,990
PAY000231,U001098,2026-02-28,paid,990.0,990
PAY000232,U001099,2026-01-14,paid,990.0,990
PAY000233,U001102,2026-05-01,refunded,1490.0,1490
PAY000234,U001106,2026-04-23,paid,1490.0,1490
PAY000235,U001107,2026-03-04,refunded,1490.0,1490
PAY000236,U001115,2026-06-01,paid,990.0,990
PAY000237,U001125,2026-04-25,paid,1990.0,1990
PAY000238,U001128,2026-05-24,paid,1990.0,1990
PAY000239,U001132,2026-01-19,paid,990.0,990
PAY000240,U001134,2026-03-22,paid,1990.0,1990
PAY000241,U001139,2026-06-27,paid,1490.0,1490
PAY000242,U001144,2026-03-02,paid,2990.0,2990
PAY000243,U001146,2026-02-06,paid,3980.0,1990
PAY000244,U001148,2026-02-02,paid,1490.0,1490
PAY000245,U001155,2026-01-14,paid,2990.0,2990
PAY000246,U001163,2026-02-27,paid,1990.0,1990
PAY000247,U001168,2026-03-22,paid,1490.0,1490
PAY000248,U001174,2026-04-16,paid,1990.0,1990
PAY000249,U001177,2026-02-02,paid,1990.0,1990
PAY000250,U001178,2026-06-16,paid,1490.0,1490
PAY000251,U001181,2026-03-05,paid,990.0,990
PAY000252,U001183,2026-01-14,paid,1980.0,990
PAY000253,U001188,2026-05-02,paid,1490.0,1490
PAY000254,U001191,2026-01-29,paid,1990.0,1990
PAY000255,U001195,2026-07-01,refunded,990.0,990
PAY000256,U001198,2026-05-13,paid,1990.0,1990
PAY000257,U001199,2026-01-22,paid,1490.0,1490
PAY000258,U001201,2026-07-01,paid,1490.0,1490
PAY000259,U001213,2026-05-11,paid,990.0,990
PAY000260,U001216,2026-07-08,paid,3980.0,1990
PAY000261,U001218,2026-01-30,paid,1990.0,1990
PAY000262,U001223,2026-01-18,paid,990.0,990
PAY000263,U001230,2026-07-04,paid,2990.0,2990
PAY000264,U001234,2026-02-27,refunded,1990.0,1990
PAY000265,U001238,2026-02-20,paid,1990.0,1990
PAY000266,U001240,2026-03-20,paid,990.0,990
PAY000267,U001254,2026-02-08,paid,990.0,990
PAY000268,U001257,2026-06-20,paid,1980.0,990
PAY000269,U001261,2026-03-26,paid,1990.0,1990
PAY000270,U001262,2026-01-06,paid,990.0,990
PAY000271,U001263,2026-02-08,paid,1990.0,1990
PAY000272,U001266,2026-02-21,refunded,1990.0,1990
PAY000273,U001270,2026-05-24,paid,990.0,990
PAY000274,U001272,2026-05-19,paid,1990.0,1990
PAY000275,U001276,2026-06-03,paid,1980.0,990
PAY000276,U001277,2026-01-09,paid,1990.0,1990
PAY000277,U001280,2026-06-05,paid,990.0,990
PAY000278,U001285,2026-04-22,refunded,990.0,990
PAY000279,U001287,2026-05-12,paid,1490.0,1490
PAY000280,U001288,2026-02-26,paid,990.0,990
PAY000281,U001289,2026-04-28,paid,990.0,990
PAY000282,U001297,2026-05-21,paid,1490.0,1490
PAY000283,U001300,2026-04-06,paid,1990.0,1990
PAY000284,U001301,2026-04-19,paid,1990.0,1990
PAY000285,U001316,2026-03-28,paid,2990.0,2990
PAY000286,U001325,2026-02-10,paid,1990.0,1990
PAY000287,U001335,2026-01-20,paid,990.0,990
PAY000288,U001344,2026-04-25,paid,1990.0,1990
PAY000289,U001347,2026-01-12,paid,990.0,990
PAY000290,U001349,2026-06-08,paid,1990.0,1990
PAY000291,U001356,2026-05-15,paid,1990.0,1990
PAY000292,U001362,2026-07-04,paid,1990.0,1990
PAY000293,U001363,2026-02-18,paid,1990.0,1990
PAY000294,U001365,2026-06-16,paid,2990.0,2990
PAY000295,U001367,2026-02-01,paid,1990.0,1990
PAY000296,U001372,2026-01-15,refunded,7450.0,1490
PAY000297,U001376,2026-06-05,paid,1490.0,1490
PAY000298,U001379,2026-05-13,paid,990.0,990
PAY000299,U001392,2026-04-06,paid,2990.0,2990
PAY000300,U001393,2026-04-12,paid,1490.0,1490
PAY000301,U001394,2026-04-19,paid,5960.0,1490
PAY000302,U001395,2026-04-27,paid,1990.0,1990
PAY000303,U001397,2026-01-26,paid,990.0,990
PAY000304,U001398,2026-06-26,paid,990.0,990
PAY000305,U001406,2026-06-29,paid,990.0,990
PAY000306,U001410,2026-06-16,paid,1490.0,1490
PAY000307,U001416,2026-01-25,paid,2990.0,2990
PAY000308,U001432,2026-01-18,paid,1490.0,1490
PAY000309,U001437,2026-06-16,paid,990.0,990
PAY000310,U001438,2026-03-09,paid,3980.0,1990
PAY000311,U001439,2026-01-10,paid,990.0,990
PAY000312,U001455,2026-03-03,paid,990.0,990
PAY000313,U001457,2026-01-13,paid,2990.0,2990
PAY000314,U001465,2026-01-05,paid,1490.0,1490
PAY000315,U001469,2026-01-14,paid,2990.0,2990
PAY000316,U001472,2026-05-09,paid,1490.0,1490
PAY000317,U001474,2026-04-03,paid,1490.0,1490
PAY000318,U001475,2026-01-25,paid,1490.0,1490
PAY000319,U001502,2026-02-14,paid,990.0,990
PAY000320,U001510,2026-05-15,paid,990.0,990
PAY000321,U001512,2026-06-20,paid,3980.0,1990
PAY000322,U001517,2026-06-25,paid,2990.0,2990
PAY000323,U001522,2026-05-26,paid,1990.0,1990
PAY000324,U001526,2026-02-14,paid,1490.0,1490
PAY000325,U001530,2026-02-08,paid,990.0,990
PAY000326,U001533,2026-04-26,paid,3980.0,1990
PAY000327,U001537,2026-02-15,paid,1490.0,1490
PAY000328,U001538,2026-05-22,paid,990.0,990
PAY000329,U001549,2026-03-24,paid,1990.0,1990
PAY000330,U001578,2026-06-29,paid,990.0,990
PAY000331,U001582,2026-06-27,paid,1490.0,1490
PAY000332,U001586,2026-04-22,paid,1990.0,1990
PAY000333,U001587,2026-06-08,paid,2990.0,2990
PAY000334,U001590,2026-02-11,paid,990.0,990
PAY000335,U001591,2026-03-15,paid,1980.0,990
PAY000336,U001592,2026-04-27,paid,1490.0,1490
PAY000337,U001593,2026-01-16,paid,1990.0,1990
PAY000338,U001606,2026-03-30,paid,2990.0,2990
PAY000339,U001607,2026-01-22,paid,990.0,990
PAY000340,U001613,2026-02-09,paid,1990.0,1990
PAY000341,U001623,2026-03-13,paid,1490.0,1490
PAY000342,U001624,2026-01-10,paid,2990.0,2990
PAY000343,U001629,2026-06-06,paid,990.0,990
PAY000344,U001631,2026-04-08,paid,1990.0,1990
PAY000345,U001640,2026-05-27,paid,2990.0,2990
PAY000346,U001646,2026-07-10,paid,990.0,990
PAY000347,U001649,2026-06-25,paid,990.0,990
PAY000348,U001660,2026-05-22,paid,1490.0,1490
PAY000349,U001664,2026-06-02,refunded,1490.0,1490
PAY000350,U001665,2026-06-06,paid,2990.0,2990
PAY000351,U001668,2026-02-07,paid,1990.0,1990
PAY000352,U001670,2026-05-12,paid,1990.0,1990
PAY000353,U001673,2026-06-08,paid,1490.0,1490
PAY000354,U001676,2026-02-10,paid,1490.0,1490
PAY000355,U001685,2026-03-16,paid,1490.0,1490
PAY000356,U001686,2026-03-02,paid,1490.0,1490
PAY000357,U001693,2026-06-23,paid,1990.0,1990
PAY000358,U001695,2026-06-11,paid,1490.0,1490
PAY000359,U001697,2026-04-02,paid,1990.0,1990
PAY000360,U001709,2026-03-10,paid,1490.0,1490
PAY000361,U001712,2026-02-28,paid,990.0,990
PAY000362,U001716,2026-02-12,paid,1490.0,1490
PAY000363,U001721,2026-04-11,paid,990.0,990
PAY000364,U001726,2026-02-28,paid,1490.0,1490
PAY000365,U001729,2026-05-10,paid,990.0,990
PAY000366,U001731,2026-03-01,paid,1490.0,1490
PAY000367,U001732,2026-03-21,paid,1990.0,1990
PAY000368,U001738,2026-06-17,paid,2980.0,1490
PAY000369,U001746,2026-05-16,paid,3980.0,1990
PAY000370,U001748,2026-05-28,paid,990.0,990
PAY000371,U001749,2026-03-06,paid,990.0,990
PAY000372,U001756,2026-05-21,paid,1490.0,1490
PAY000373,U001757,2026-05-03,paid,2990.0,2990
PAY000374,U001758,2026-01-20,paid,990.0,990
PAY000375,U001765,2026-02-17,paid,1490.0,1490
PAY000376,U001768,2026-03-07,paid,1490.0,1490
PAY000377,U001779,2026-06-17,paid,1490.0,1490
PAY000378,U001782,2026-01-31,refunded,990.0,990
PAY000379,U001784,2026-06-04,paid,990.0,990
PAY000380,U001793,2026-02-09,paid,1990.0,1990
PAY000381,U001797,2026-07-10,paid,1990.0,1990
PAY000382,U001809,2026-01-10,paid,990.0,990
PAY000383,U001814,2026-05-09,paid,1490.0,1490
PAY000384,U001818,2026-05-30,paid,1990.0,1990
PAY000385,U001820,2026-04-07,paid,1490.0,1490
PAY000386,U001828,2026-03-09,paid,1490.0,1490
PAY000387,U001829,2026-06-20,paid,1490.0,1490
PAY000388,U001833,2026-04-13,paid,1990.0,1990
PAY000389,U001836,2026-04-07,paid,2980.0,1490
PAY000390,U001843,2026-02-12,paid,1990.0,1990
PAY000391,U001845,2026-06-01,paid,1990.0,1990
PAY000392,U001849,2026-05-11,paid,990.0,990
PAY000393,U001852,2026-05-22,paid,1990.0,1990
PAY000394,U001868,2026-02-06,paid,990.0,990
PAY000395,U001871,2026-02-11,paid,990.0,990
PAY000396,U001873,2026-02-26,paid,990.0,990
PAY000397,U001877,2026-02-23,paid,990.0,990
PAY000398,U001878,2026-05-09,paid,990.0,990
PAY000399,U001893,2026-01-28,refunded,990.0,990
PAY000400,U001901,2026-01-16,paid,990.0,990
PAY000401,U001904,2026-01-30,paid,1990.0,1990
PAY000402,U001910,2026-05-30,paid,990.0,990
PAY000403,U001912,2026-04-21,paid,990.0,990
PAY000404,U001914,2026-02-17,paid,1990.0,1990
PAY000405,U001922,2026-04-04,paid,2980.0,1490
PAY000406,U001944,2026-02-16,refunded,990.0,990
PAY000407,U001947,2026-02-19,paid,1990.0,1990
PAY000408,U001953,2026-03-25,paid,990.0,990
PAY000409,U001954,2026-04-27,refunded,2990.0,2990
PAY000410,U001955,2026-02-20,paid,1990.0,1990
PAY000411,U001959,2026-06-18,paid,990.0,990
PAY000412,U001966,2026-04-21,paid,1490.0,1490
PAY000413,U001967,2026-04-03,paid,1990.0,1990
PAY000414,U001969,2026-01-18,paid,990.0,990
PAY000415,U001970,2026-07-10,paid,1490.0,1490
PAY000416,U001973,2026-07-03,paid,1990.0,1990
PAY000417,U001975,2026-04-19,paid,990.0,990
PAY000418,U001976,2026-04-28,paid,1490.0,1490
PAY000419,U001978,2026-05-06,paid,1490.0,1490
PAY000420,U001980,2026-03-05,paid,1990.0,1990
PAY000421,U001983,2026-02-23,paid,1490.0,1490
PAY000422,U001989,2026-02-22,paid,990.0,990
PAY000423,U001993,2026-03-14,paid,2970.0,990
PAY000424,U001994,2026-02-28,paid,990.0,990
PAY000425,U001996,2026-06-21,paid,1990.0,1990
PAY000426,U001997,2026-03-14,paid,1490.0,1490
PAY000427,U002000,2026-04-07,paid,990.0,990
PAY000428,U002008,2026-06-20,paid,1490.0,1490
PAY000429,U002023,2026-04-26,paid,990.0,990
PAY000430,U002025,2026-03-15,paid,990.0,990
PAY000431,U002031,2026-03-02,paid,1490.0,1490
PAY000432,U002035,2026-07-12,paid,990.0,990
PAY000433,U002038,2026-06-24,paid,1990.0,1990
PAY000434,U002040,2026-02-06,paid,1990.0,1990
PAY000435,U002041,2026-04-28,paid,1490.0,1490
PAY000436,U002047,2026-06-17,paid,8970.0,2990
PAY000437,U002048,2026-04-02,paid,990.0,990
PAY000438,U002050,2026-05-29,paid,990.0,990
PAY000439,U002051,2026-05-16,paid,1490.0,1490
PAY000440,U002053,2026-03-11,paid,990.0,990
PAY000441,U002059,2026-01-21,paid,990.0,990
PAY000442,U002063,2026-06-23,paid,1490.0,1490
PAY000443,U002065,2026-05-11,paid,990.0,990
PAY000444,U002067,2026-06-23,paid,990.0,990
PAY000445,U002075,2026-04-07,paid,990.0,990
PAY000446,U002076,2026-06-28,refunded,990.0,990
PAY000447,U002095,2026-06-15,paid,1490.0,1490
PAY000448,U002096,2026-03-27,paid,990.0,990
PAY000449,U002098,2026-01-20,refunded,1490.0,1490
PAY000450,U002103,2026-06-18,paid,1990.0,1990
PAY000451,U002104,2026-01-10,paid,990.0,990
PAY000452,U002113,2026-05-20,refunded,1990.0,1990
PAY000453,U002124,2026-05-14,paid,1990.0,1990
PAY000454,U002133,2026-05-25,paid,1490.0,1490
PAY000455,U002137,2026-01-19,paid,1990.0,1990
PAY000456,U002138,2026-05-01,paid,1490.0,1490
PAY000457,U002140,2026-05-04,paid,1490.0,1490
PAY000458,U002145,2026-02-01,paid,1490.0,1490
PAY000459,U002146,2026-04-12,paid,990.0,990
PAY000460,U002150,2026-01-20,paid,990.0,990
PAY000461,U002153,2026-06-12,paid,1490.0,1490
PAY000462,U002154,2026-01-29,paid,1490.0,1490
PAY000463,U002161,2026-05-08,paid,1990.0,1990
PAY000464,U002164,2026-05-20,paid,990.0,990
PAY000465,U002166,2026-05-11,paid,1980.0,990
PAY000466,U002170,2026-06-21,paid,990.0,990
PAY000467,U002174,2026-06-07,paid,1490.0,1490
PAY000468,U002179,2026-04-30,paid,1490.0,1490
PAY000469,U002185,2026-06-23,paid,1990.0,1990
PAY000470,U002195,2026-01-23,paid,1990.0,1990
PAY000471,U002199,2026-01-16,paid,1490.0,1490
PAY000472,U002201,2026-06-02,paid,990.0,990
PAY000473,U002203,2026-03-06,paid,990.0,990
PAY000474,U002206,2026-04-14,refunded,1490.0,1490
PAY000475,U002209,2026-03-29,paid,1490.0,1490
PAY000476,U002212,2026-03-16,paid,2980.0,1490
PAY000477,U002219,2026-01-30,paid,990.0,990
PAY000478,U002222,2026-05-06,paid,1490.0,1490
PAY000479,U002227,2026-05-26,paid,1990.0,1990
PAY000480,U002228,2026-07-02,paid,1980.0,990
PAY000481,U002231,2026-04-04,paid,1990.0,1990
PAY000482,U002232,2026-02-07,paid,1490.0,1490
PAY000483,U002233,2026-01-07,refunded,990.0,990
PAY000484,U002234,2026-01-29,paid,990.0,990
PAY000485,U002244,2026-02-25,paid,2990.0,2990
PAY000486,U002252,2026-03-25,paid,1490.0,1490
PAY000487,U002253,2026-03-25,paid,990.0,990
PAY000488,U002259,2026-06-15,paid,990.0,990
PAY000489,U002265,2026-01-17,paid,2990.0,2990
PAY000490,U002267,2026-03-05,paid,1490.0,1490
PAY000491,U002268,2026-03-07,paid,990.0,990
PAY000492,U002276,2026-02-13,paid,2980.0,1490
PAY000493,U002280,2026-06-17,paid,990.0,990
PAY000494,U002287,2026-02-02,paid,1490.0,1490
PAY000495,U002289,2026-04-14,paid,1490.0,1490
PAY000496,U002290,2026-05-08,paid,990.0,990
PAY000497,U002296,2026-03-07,paid,1490.0,1490
PAY000498,U002298,2026-03-05,paid,990.0,990
PAY000499,U002301,2026-03-03,paid,2990.0,2990
PAY000500,U002312,2026-02-03,paid,1490.0,1490
PAY000501,U002315,2026-05-10,paid,990.0,990
PAY000502,U002320,2026-06-07,paid,1490.0,1490
PAY000503,U002335,2026-02-17,paid,1990.0,1990
PAY000504,U002336,2026-04-21,paid,1490.0,1490
PAY000505,U002340,2026-06-02,paid,1980.0,990
PAY000506,U002345,2026-05-06,paid,990.0,990
PAY000507,U002349,2026-01-17,paid,1490.0,1490
PAY000508,U002355,2026-02-10,refunded,990.0,990
PAY000509,U002359,2026-04-12,paid,1490.0,1490
