ticket_id,user_id,created_at,topic,priority,resolution_hours,csat
T000040,U000327,2026-04-02 12:06:00,refund,low,15.97,4.0
T000041,U000332,2026-05-22 11:09:00,refund,high,14.54,4.0
T000042,U000332,2026-05-16 09:28:00,account,low,2.93,4.0
T000043,U000332,2026-06-09 22:33:00,course_content,medium,24.2,4.0
T000044,U000335,2026-03-28 18:46:00,technical_issue,high,42.65,5.0
T000045,U000338,2026-06-25 18:48:00,refund,low,16.72,5.0
T000046,U000350,2026-03-16 12:10:00,payment,medium,7.26,4.0
T000047,U000352,2026-03-29 09:31:00,technical_issue,medium,22.95,4.0
T000048,U000352,2026-04-02 10:36:00,payment,high,15.96,4.0
T000049,U000355,2026-02-11 08:58:00,refund,medium,22.58,5.0
T000050,U000366,2026-07-20 21:15:00,refund,medium,21.78,3.0
T000051,U000378,2026-02-19 22:34:00,technical_issue,medium,17.62,5.0
T000052,U000383,2026-04-11 15:39:00,course_content,low,11.05,5.0
T000053,U000397,2026-05-29 16:21:00,refund,medium,29.57,4.0
T000054,U000406,2026-07-09 11:07:00,refund,medium,49.52,5.0
T000055,U000427,2026-04-04 21:28:00,course_content,low,10.5,4.0
T000056,U000433,2026-02-01 09:22:00,course_content,low,12.42,3.0
T000057,U000436,2026-04-03 21:03:00,technical_issue,low,5.64,5.0
T000058,U000446,2026-01-07 16:20:00,refund,high,29.6,3.0
T000059,U000449,2026-03-20 09:08:00,technical_issue,high,9.68,5.0
T000060,U000457,2026-06-18 22:02:00,course_content,medium,21.07,3.0
T000061,U000457,2026-07-12 18:45:00,technical_issue,low,19.88,3.0
T000062,U000460,2026-04-13 21:35:00,course_content,high,31.46,3.0
T000063,U000461,2026-06-20 10:05:00,refund,low,23.39,5.0
T000064,U000493,2026-04-12 13:25:00,account,medium,8.73,4.0
T000065,U000493,2026-03-26 16:20:00,course_content,low,6.26,4.0
T000066,U000493,2026-03-19 17:55:00,account,low,13.47,4.0
T000067,U000494,2026-04-03 21:24:00,course_content,medium,10.6,3.0
T000068,U000495,2026-03-30 17:41:00,technical_issue,low,6.95,4.0
T000069,U000504,2026-06-16 19:40:00,technical_issue,medium,4.91,5.0
T000070,U000508,2026-05-20 22:27:00,account,low,1.69,3.0
T000071,U000509,2026-04-10 11:04:00,course_content,medium,6.65,3.0
T000072,U000519,2026-05-01 08:37:00,payment,medium,14.12,4.0
T000073,U000525,2026-05-12 14:28:00,payment,medium,31.76,4.0
T000074,U000525,2026-05-04 21:32:00,payment,medium,7.38,4.0
T000075,U000535,2026-07-04 18:04:00,technical_issue,low,8.42,4.0
T000076,U000542,2026-04-09 15:23:00,refund,high,30.34,5.0
T000077,U000543,2026-02-27 17:21:00,course_content,low,27.38,4.0
T000078,U000549,2026-05-22 19:20:00,refund,low,18.1,5.0
T000079,U000549,2026-05-28 12:48:00,technical_issue,medium,4.41,5.0
T000080,U000598,2026-03-26 13:56:00,refund,low,19.01,4.0
T000081,U000611,2026-05-24 15:27:00,payment,low,27.48,4.0
T000082,U000616,2026-06-17 15:40:00,payment,medium,18.77,4.0
T000083,U000623,2026-03-06 14:14:00,technical_issue,low,6.91,4.0
T000084,U000631,2026-07-02 13:00:00,refund,medium,12.93,4.0
T000085,U000646,2026-06-27 22:03:00,refund,low,43.54,4.0
T000086,U000650,2026-07-10 22:26:00,account,high,15.53,4.0
T000087,U000655,2026-02-17 11:55:00,technical_issue,low,6.59,4.0
T000088,U000687,2026-05-12 17:11:00,account,low,78.06,3.0
T000089,U000687,2026-04-28 09:10:00,payment,low,13.02,3.0
T000090,U000689,2026-06-25 11:39:00,payment,medium,12.75,3.0
T000091,U000692,2026-03-23 16:02:00,technical_issue,medium,6.38,3.0
T000092,U000715,2026-03-06 13:14:00,account,low,40.52,4.0
T000093,U000730,2026-05-31 20:24:00,payment,medium,24.05,5.0
T000094,U000734,2026-07-02 14:19:00,technical_issue,medium,23.78,3.0
T000095,U000746,2026-04-13 08:33:00,technical_issue,low,4.37,4.0
T000096,U000751,2026-07-04 18:15:00,account,low,25.72,3.0
T000097,U000754,2026-04-26 13:18:00,account,medium,10.64,4.0
T000098,U000754,2026-04-10 10:30:00,payment,medium,29.52,4.0
T000099,U000787,2026-05-24 12:13:00,payment,low,11.87,5.0
T000100,U000787,2026-05-26 14:32:00,payment,low,19.44,5.0
T000101,U000789,2026-05-12 12:20:00,course_content,medium,17.58,3.0
T000102,U000791,2026-07-04 14:13:00,account,medium,16.65,4.0
T000103,U000805,2026-04-23 12:08:00,technical_issue,low,8.77,4.0
T000104,U000824,2026-05-27 13:41:00,refund,medium,11.88,3.0
T000105,U000826,2026-02-07 10:06:00,course_content,medium,10.28,3.0
T000106,U000828,2026-03-25 17:02:00,technical_issue,medium,18.04,3.0
T000107,U000829,2026-07-08 08:42:00,course_content,high,32.07,4.0
T000108,U000839,2026-05-08 20:24:00,technical_issue,low,4.38,4.0
T000109,U000848,2026-04-14 08:43:00,refund,low,8.42,2.0
T000110,U000854,2026-05-08 21:48:00,course_content,low,9.97,5.0
T000111,U000885,2026-01-29 18:50:00,payment,low,8.4,3.0
T000112,U000895,2026-05-15 08:15:00,payment,low,37.08,5.0
T000113,U000895,2026-05-16 10:09:00,technical_issue,low,10.95,5.0
T000114,U000907,2026-05-26 09:47:00,technical_issue,low,13.54,4.0
T000115,U000910,2026-07-03 18:02:00,payment,high,19.62,4.0
T000116,U000928,2026-02-20 11:52:00,course_content,low,4.0,4.0
T000117,U000929,2026-03-22 14:52:00,payment,medium,34.34,4.0
T000118,U000972,2026-05-12 22:41:00,course_content,medium,1.0,4.0
T000119,U000979,2026-07-20 19:51:00,refund,medium,12.95,3.0
T000120,U000983,2026-06-15 16:48:00,payment,low,4.11,5.0
T000121,U000984,2026-04-23 16:44:00,course_content,low,13.81,3.0
T000122,U000989,2026-05-03 08:01:00,payment,low,41.51,4.0
T000123,U001006,2026-06-22 16:30:00,refund,low,20.37,3.0
T000124,U001007,2026-03-27 15:02:00,account,high,9.03,4.0
T000125,U001011,2026-03-28 12:05:00,technical_issue,medium,9.79,3.0
T000126,U001027,2026-05-27 11:15:00,technical_issue,medium,10.15,4.0
T000127,U001029,2026-05-02 19:42:00,account,medium,11.1,3.0
T000128,U001038,2026-04-02 11:58:00,technical_issue,high,24.68,4.0
T000129,U001052,2026-06-11 21:59:00,technical_issue,medium,40.81,3.0
T000130,U001060,2026-04-29 21:40:00,course_content,medium,20.11,5.0
T000131,U001072,2026-05-18 19:34:00,technical_issue,low,11.92,3.0
T000132,U001077,2026-03-25 13:14:00,refund,medium,20.27,4.0
T000133,U001081,2026-07-20 11:05:00,account,low,9.94,5.0
T000134,U001082,2026-04-25 15:56:00,account,low,11.38,3.0
T000135,U001089,2026-03-09 08:14:00,technical_issue,low,14.97,5.0
T000136,U001091,2026-06-27 13:02:00,payment,high,16.46,4.0
T000137,U001102,2026-05-03 15:00:00,refund,low,23.47,4.0
T000138,U001102,2026-05-05 10:57:00,technical_issue,medium,20.01,4.0
T000139,U001102,2026-05-13 16:20:00,course_content,medium,29.13,4.0
T000140,U001102,2026-05-07 18:06:00,payment,high,10.75,4.0
T000141,U001104,2026-02-07 15:54:00,refund,low,14.51,4.0
T000142,U001105,2026-02-07 19:33:00,account,low,49.1,5.0
T000143,U001107,2026-03-14 11:08:00,account,medium,5.82,4.0
T000144,U001113,2026-01-28 15:24:00,payment,low,15.8,5.0
T000145,U001113,2026-02-19 11:18:00,technical_issue,high,22.65,5.0
T000146,U001128,2026-05-29 14:39:00,technical_issue,medium,33.87,4.0
T000147,U001128,2026-06-08 14:52:00,technical_issue,medium,15.71,4.0
T000148,U001130,2026-04-30 16:15:00,payment,high,22.38,3.0
T000149,U001137,2026-04-27 13:46:00,course_content,low,10.03,4.0
T000150,U001143,2026-03-01 17:39:00,technical_issue,medium,2.74,4.0
T000151,U001171,2026-07-05 15:22:00,refund,low,21.88,3.0
T000152,U001171,2026-07-04 18:22:00,account,medium,42.15,3.0
T000153,U001175,2026-03-31 19:33:00,payment,low,9.11,4.0
T000154,U001182,2026-05-18 16:37:00,payment,medium,10.94,3.0
T000155,U001184,2026-03-24 19:49:00,technical_issue,high,59.1,4.0
T000156,U001185,2026-04-27 19:39:00,technical_issue,medium,17.15,5.0
T000157,U001194,2026-04-03 12:56:00,payment,medium,45.41,5.0
T000158,U001195,2026-07-04 22:45:00,refund,high,18.13,3.0
T000159,U001195,2026-07-03 14:39:00,refund,high,19.62,3.0
T000160,U001201,2026-07-02 18:18:00,course_content,medium,19.16,4.0
T000161,U001204,2026-06-14 10:27:00,technical_issue,low,20.53,4.0
T000162,U001218,2026-02-06 08:46:00,payment,high,34.73,3.0
T000163,U001220,2026-05-25 14:45:00,technical_issue,high,37.65,3.0
T000164,U001226,2026-06-01 18:54:00,payment,low,39.97,5.0
T000165,U001234,2026-02-28 09:31:00,refund,medium,5.6,5.0
T000166,U001265,2026-05-10 14:34:00,course_content,medium,1.08,4.0
T000167,U001265,2026-05-09 17:19:00,technical_issue,medium,6.45,4.0
T000168,U001266,2026-03-08 21:37:00,technical_issue,low,10.86,4.0
T000169,U001266,2026-03-03 19:57:00,payment,low,8.98,4.0
T000170,U001285,2026-05-02 22:19:00,course_content,low,11.61,4.0
T000171,U001285,2026-04-15 17:23:00,technical_issue,low,4.69,4.0
T000172,U001291,2026-05-03 16:57:00,course_content,low,11.72,4.0
T000173,U001293,2026-04-05 21:54:00,refund,low,11.98,3.0
T000174,U001302,2026-04-15 18:46:00,payment,low,27.88,4.0
T000175,U001303,2026-01-24 11:42:00,payment,low,9.45,4.0
T000176,U001305,2026-05-21 20:21:00,course_content,low,29.24,4.0
T000177,U001314,2026-06-24 13:07:00,technical_issue,medium,6.65,4.0
T000178,U001315,2026-01-15 09:31:00,payment,low,22.85,4.0
T000179,U001320,2026-03-20 15:33:00,payment,medium,17.3,4.0
T000180,U001323,2026-04-12 08:21:00,technical_issue,medium,1.54,4.0
T000181,U001327,2026-06-18 14:02:00,course_content,low,8.11,3.0
T000182,U001330,2026-04-30 19:15:00,payment,medium,27.05,5.0
T000183,U001343,2026-05-14 16:45:00,course_content,medium,8.7,5.0
T000184,U001363,2026-02-27 08:24:00,course_content,low,8.23,3.0
T000185,U001364,2026-03-29 20:16:00,payment,high,27.37,5.0
T000186,U001374,2026-04-14 21:55:00,course_content,medium,30.06,4.0
T000187,U001389,2026-03-06 12:26:00,payment,low,19.34,4.0
T000188,U001389,2026-03-11 19:33:00,payment,low,11.19,4.0
T000189,U001391,2026-02-13 18:06:00,payment,low,6.65,4.0
T000190,U001414,2026-05-23 15:14:00,course_content,low,32.83,5.0
T000191,U001422,2026-02-15 18:44:00,account,low,6.57,5.0
T000192,U001430,2026-06-23 09:18:00,technical_issue,medium,4.46,5.0
T000193,U001433,2026-07-23 14:57:00,payment,low,25.21,5.0
T000194,U001440,2026-05-27 21:36:00,account,medium,25.41,3.0
T000195,U001441,2026-06-08 22:11:00,course_content,medium,4.27,5.0
T000196,U001451,2026-02-15 08:11:00,payment,low,18.52,3.0
T000197,U001466,2026-05-29 11:21:00,payment,medium,3.84,5.0
T000198,U001492,2026-01-20 13:25:00,technical_issue,low,11.74,4.0
T000199,U001501,2026-06-19 14:57:00,payment,medium,20.63,4.0
T000200,U001501,2026-06-20 22:59:00,course_content,medium,21.15,4.0
T000201,U001513,2026-04-20 15:29:00,account,high,13.04,3.0
T000202,U001519,2026-01-05 14:16:00,course_content,low,23.9,3.0
T000203,U001519,2026-01-12 20:43:00,course_content,medium,7.8,3.0
T000204,U001540,2026-02-15 18:56:00,course_content,medium,29.19,4.0
T000205,U001540,2026-02-16 22:35:00,payment,low,5.35,4.0
T000206,U001540,2026-03-05 08:34:00,refund,medium,35.35,4.0
T000207,U001543,2026-04-22 16:59:00,refund,medium,26.87,4.0
T000208,U001562,2026-07-19 13:42:00,payment,medium,10.46,5.0
T000209,U001567,2026-02-24 17:45:00,course_content,low,12.7,2.0
T000210,U001568,2026-06-26 18:28:00,payment,low,8.81,4.0
T000211,U001568,2026-06-09 13:20:00,payment,low,21.45,4.0
T000212,U001578,2026-07-20 13:08:00,account,medium,6.59,5.0
T000213,U001587,2026-06-13 16:29:00,course_content,low,11.86,3.0
T000214,U001589,2026-02-20 17:57:00,course_content,low,11.7,4.0
T000215,U001603,2026-05-31 20:17:00,payment,low,2.8,4.0
T000216,U001604,2026-05-01 14:22:00,course_content,low,26.49,4.0
T000217,U001604,2026-04-14 15:51:00,technical_issue,high,13.6,4.0
T000218,U001612,2026-06-05 11:20:00,payment,low,12.56,3.0
T000219,U001613,2026-02-15 11:53:00,technical_issue,low,7.85,5.0
T000220,U001620,2026-06-19 10:16:00,technical_issue,high,18.63,3.0
T000221,U001621,2026-04-25 12:25:00,technical_issue,low,20.53,3.0
T000222,U001642,2026-03-02 19:48:00,course_content,high,25.07,3.0
T000223,U001656,2026-07-10 19:33:00,payment,low,10.43,4.0
T000224,U001659,2026-06-13 10:52:00,course_content,low,7.49,5.0
T000225,U001664,2026-06-16 19:44:00,technical_issue,medium,8.43,2.0
T000226,U001692,2026-04-25 19:45:00,payment,medium,14.27,4.0
T000227,U001701,2026-03-19 21:07:00,account,high,42.11,5.0
T000228,U001710,2026-02-08 19:55:00,course_content,low,11.09,4.0
T000229,U001731,2026-03-13 22:45:00,refund,medium,20.38,4.0
T000230,U001733,2026-06-04 08:17:00,course_content,medium,3.79,4.0
T000231,U001734,2026-04-03 13:06:00,account,low,28.24,5.0
T000232,U001741,2026-04-30 13:34:00,course_content,medium,46.35,4.0
T000233,U001748,2026-05-20 16:08:00,payment,low,5.02,2.0
T000234,U001748,2026-06-12 12:57:00,course_content,medium,4.95,2.0
T000235,U001753,2026-05-03 10:37:00,refund,low,29.86,4.0
T000236,U001766,2026-07-02 20:19:00,course_content,low,21.39,4.0
T000237,U001771,2026-07-14 11:48:00,payment,medium,37.42,4.0
T000238,U001782,2026-02-15 19:02:00,payment,medium,13.27,3.0
T000239,U001791,2026-03-16 19:54:00,payment,low,5.08,5.0
T000240,U001797,2026-07-13 19:26:00,account,low,19.16,5.0
T000241,U001803,2026-01-17 13:06:00,payment,low,5.38,5.0
T000242,U001805,2026-01-30 09:11:00,course_content,low,26.43,3.0
T000243,U001822,2026-02-09 14:27:00,account,medium,34.78,4.0
T000244,U001825,2026-05-10 18:41:00,course_content,low,7.12,4.0
T000245,U001829,2026-06-30 19:11:00,payment,low,4.27,4.0
T000246,U001838,2026-06-07 21:34:00,course_content,high,20.47,4.0
T000247,U001844,2026-03-24 16:29:00,course_content,medium,45.39,5.0
T000248,U001848,2026-03-04 11:11:00,payment,medium,28.73,3.0
T000249,U001857,2026-01-12 19:58:00,payment,low,13.68,4.0
T000250,U001879,2026-04-29 18:53:00,technical_issue,low,37.13,4.0
T000251,U001882,2026-04-02 13:00:00,technical_issue,medium,17.36,5.0
T000252,U001890,2026-03-02 12:37:00,payment,low,36.31,4.0
T000253,U001893,2026-02-02 15:37:00,technical_issue,medium,1.36,4.0
T000254,U001921,2026-02-24 11:29:00,course_content,low,3.79,3.0
T000255,U001930,2026-01-14 16:44:00,payment,low,10.41,4.0
T000256,U001939,2026-05-12 13:31:00,course_content,low,7.29,3.0
T000257,U001948,2026-06-18 20:42:00,account,low,34.28,4.0
T000258,U001952,2026-06-08 12:16:00,technical_issue,low,4.8,4.0
T000259,U001953,2026-04-06 13:42:00,technical_issue,low,24.17,4.0
T000260,U001976,2026-04-29 22:51:00,technical_issue,low,20.15,3.0
T000261,U002007,2026-07-21 18:31:00,payment,low,16.0,5.0
T000262,U002012,2026-01-28 15:38:00,account,low,7.27,5.0
T000263,U002035,2026-07-07 19:43:00,payment,medium,17.19,5.0
T000264,U002042,2026-02-25 21:27:00,account,low,6.41,5.0
T000265,U002050,2026-05-24 17:11:00,technical_issue,medium,14.92,5.0
T000266,U002061,2026-07-15 10:01:00,payment,low,10.56,5.0
T000267,U002070,2026-04-08 18:48:00,refund,medium,11.98,3.0
T000268,U002075,2026-04-15 18:12:00,technical_issue,low,15.07,5.0
T000269,U002076,2026-06-30 10:09:00,account,low,12.98,4.0
T000270,U002085,2026-01-10 19:12:00,refund,medium,31.93,5.0
T000271,U002093,2026-02-05 09:55:00,course_content,high,27.86,3.0
T000272,U002098,2026-01-22 14:17:00,payment,high,15.28,4.0
T000273,U002100,2026-05-12 19:20:00,technical_issue,low,7.5,4.0
T000274,U002106,2026-05-01 10:17:00,technical_issue,medium,33.3,4.0
T000275,U002126,2026-05-27 19:37:00,technical_issue,low,12.78,4.0
T000276,U002128,2026-01-27 22:15:00,refund,low,50.51,4.0
T000277,U002128,2026-02-05 16:16:00,technical_issue,low,46.32,4.0
T000278,U002137,2026-02-05 14:05:00,technical_issue,low,10.96,4.0
T000279,U002138,2026-05-29 08:50:00,course_content,medium,13.74,4.0
T000280,U002141,2026-05-25 08:07:00,payment,medium,19.11,3.0
T000281,U002144,2026-02-12 17:36:00,payment,medium,5.83,3.0
T000282,U002153,2026-06-10 15:34:00,course_content,low,19.88,4.0
T000283,U002160,2026-06-03 13:21:00,course_content,medium,13.91,4.0
T000284,U002161,2026-04-30 16:42:00,payment,medium,8.27,2.0
T000285,U002161,2026-05-04 22:57:00,technical_issue,medium,1.0,2.0
T000286,U002163,2026-05-23 18:31:00,technical_issue,low,18.78,4.0
T000287,U002166,2026-05-10 17:30:00,refund,medium,31.79,5.0
T000288,U002170,2026-07-11 17:55:00,technical_issue,medium,28.38,4.0
T000289,U002173,2026-07-20 20:56:00,course_content,low,28.25,4.0
T000290,U002185,2026-07-15 08:32:00,refund,low,7.66,5.0
T000291,U002189,2026-03-29 15:44:00,course_content,medium,13.88,5.0
T000292,U002198,2026-04-06 15:24:00,account,high,13.14,4.0
T000293,U002200,2026-06-16 11:40:00,payment,low,46.67,4.0
T000294,U002210,2026-06-13 08:32:00,refund,low,22.58,5.0
T000295,U002213,2026-03-22 22:08:00,refund,low,12.05,5.0
T000296,U002216,2026-05-10 18:32:00,course_content,high,7.85,4.0
T000297,U002233,2026-01-10 18:20:00,account,medium,10.43,4.0
T000298,U002241,2026-03-31 17:51:00,refund,medium,15.09,4.0
T000299,U002245,2026-02-23 21:57:00,payment,medium,1.04,5.0
T000300,U002252,2026-04-07 16:07:00,technical_issue,low,8.12,5.0
T000301,U002259,2026-06-27 15:42:00,account,low,24.1,4.0
T000302,U002280,2026-06-05 21:29:00,payment,low,18.33,3.0
T000303,U002281,2026-06-03 18:28:00,refund,medium,36.36,5.0
T000304,U002304,2026-03-15 21:19:00,course_content,low,3.42,4.0
T000305,U002308,2026-05-13 21:12:00,course_content,medium,34.58,3.0
T000306,U002334,2026-02-23 16:43:00,technical_issue,medium,6.67,4.0
T000307,U002342,2026-01-24 19:06:00,course_content,high,10.43,4.0
T000308,U002346,2026-03-25 10:30:00,account,medium,3.16,4.0
T000309,U002350,2026-03-20 20:46:00,refund,high,15.52,4.0
T000310,U002350,2026-04-06 11:00:00,payment,low,1.12,4.0
T000311,U002355,2026-02-17 19:27:00,payment,low,12.08,5.0
T000312,U002376,2026-05-02 12:28:00,technical_issue,low,14.08,5.0
T000313,U002377,2026-01-27 09:21:00,refund,low,16.47,5.0
T000314,U002379,2026-03-05 16:58:00,technical_issue,low,11.86,4.0
T000315,U002388,2026-05-21 15:05:00,technical_issue,low,4.85,3.0
T000316,U002401,2026-02-15 19:02:00,refund,low,8.77,4.0
T000317,U002412,2026-04-13 13:59:00,payment,medium,10.14,5.0
T000318,U002413,2026-02-20 22:19:00,account,low,6.53,3.0
T000319,U002429,2026-03-16 08:19:00,payment,low,29.36,3.0
T000320,U002429,2026-03-25 22:16:00,payment,medium,9.94,3.0
T000321,U002429,2026-03-03 11:32:00,payment,medium,2.8,3.0
T000322,U002437,2026-05-22 14:21:00,course_content,medium,15.18,5.0
T000323,U002443,2026-04-28 20:44:00,account,medium,8.45,4.0
T000324,U002443,2026-04-24 10:10:00,refund,medium,6.14,4.0
T000325,U002474,2026-06-23 16:09:00,payment,low,10.69,5.0
T000326,U002476,2026-01-31 08:35:00,payment,high,22.81,4.0
T000327,U002491,2026-03-03 15:28:00,payment,high,31.46,4.0
T000328,U002492,2026-02-26 13:28:00,payment,low,24.57,4.0
T000329,U002494,2026-06-07 20:17:00,course_content,low,46.32,4.0
T000330,U002500,2026-07-24 14:21:00,course_content,low,7.39,4.0
T000331,U002508,2026-02-04 22:38:00,technical_issue,low,23.86,5.0
T000332,U002512,2026-02-20 15:02:00,technical_issue,medium,13.33,5.0
T000333,U002520,2026-01-27 14:20:00,account,medium,40.37,5.0
T000334,U002527,2026-06-07 17:26:00,course_content,medium,18.19,5.0
T000335,U002533,2026-03-27 11:52:00,payment,low,6.43,5.0
T000336,U002551,2026-06-01 21:08:00,refund,high,19.82,5.0
T000337,U002558,2026-03-28 21:34:00,payment,low,38.21,3.0
T000338,U002570,2026-07-08 19:07:00,technical_issue,medium,6.15,3.0
T000339,U002577,2026-03-05 09:26:00,account,medium,34.58,5.0
T000340,U002590,2026-03-03 14:55:00,refund,low,10.62,4.0
T000341,U002593,2026-02-11 18:53:00,course_content,medium,14.04,5.0
T000342,U002598,2026-06-20 11:46:00,course_content,medium,23.23,5.0
T000343,U002630,2026-01-09 15:29:00,refund,medium,7.28,5.0
T000344,U002633,2026-01-09 11:45:00,course_content,medium,12.41,4.0
T000345,U002636,2026-03-28 08:45:00,technical_issue,high,14.96,5.0
T000346,U002642,2026-05-14 11:54:00,payment,low,34.98,5.0
T000347,U002648,2026-05-07 08:41:00,refund,low,30.04,5.0
T000348,U002665,2026-03-29 21:09:00,payment,low,28.79,5.0
T000349,U002678,2026-06-07 22:11:00,course_content,medium,7.41,4.0
T000350,U002697,2026-02-01 20:09:00,course_content,low,9.67,5.0
T000351,U002700,2026-05-05 09:29:00,course_content,low,36.73,5.0
T000352,U002703,2026-02-21 14:03:00,refund,medium,17.74,4.0
T000353,U002707,2026-02-22 20:09:00,payment,low,9.2,3.0
T000354,U002711,2026-06-15 12:32:00,refund,high,16.16,5.0
T000355,U002713,2026-01-18 16:22:00,payment,high,17.14,4.0
T000356,U002720,2026-07-04 10:05:00,refund,medium,24.96,4.0
T000357,U002721,2026-06-25 22:03:00,account,medium,12.96,3.0
T000358,U002738,2026-04-13 13:27:00,payment,medium,14.88,4.0
T000359,U002749,2026-02-06 20:05:00,account,medium,20.07,4.0
T000360,U002751,2026-07-05 22:12:00,payment,low,34.81,5.0
T000361,U002755,2026-05-30 22:06:00,payment,high,17.77,5.0
T000362,U002757,2026-04-12 20:35:00,account,low,10.79,5.0
T000363,U002758,2026-05-05 19:07:00,technical_issue,medium,23.94,3.0
T000364,U002758,2026-05-07 16:18:00,course_content,low,17.77,3.0
T000365,U002779,2026-03-04 16:21:00,technical_issue,high,22.91,5.0
T000366,U002785,2026-01-01 14:18:00,course_content,medium,22.53,4.0
T000367,U002785,2026-01-04 20:13:00,course_content,medium,2.18,4.0
T000368,U002792,2026-04-20 09:31:00,course_content,high,13.14,5.0
T000369,U002794,2026-03-02 20:24:00,technical_issue,low,5.63,4.0
T000370,U002801,2026-02-04 21:10:00,refund,medium,25.97,5.0
T000371,U002808,2026-02-21 15:14:00,course_content,low,18.97,5.0
T000372,U002809,2026-02-21 11:34:00,payment,medium,12.11,3.0
T000373,U002818,2026-07-18 15:15:00,payment,low,25.27,4.0
T000374,U002843,2026-03-02 11:32:00,account,high,34.93,3.0
T000375,U002847,2026-02-20 22:01:00,course_content,low,10.82,4.0
T000376,U002859,2026-07-10 15:49:00,course_content,low,9.41,4.0
T000377,U002863,2026-05-13 10:21:00,payment,medium,13.72,5.0
T000378,U002875,2026-06-25 20:26:00,payment,medium,11.42,4.0
T000379,U002880,2026-06-01 19:52:00,technical_issue,medium,28.03,5.0
T000380,U002885,2026-04-12 10:31:00,course_content,low,7.49,4.0
T000381,U002898,2026-04-11 21:07:00,refund,low,28.07,3.0
T000382,U002907,2026-06-30 09:42:00,course_content,high,8.65,4.0
T000383,U002910,2026-02-09 16:39:00,payment,low,16.32,5.0
T000384,U002910,2026-01-31 08:13:00,payment,high,23.18,5.0
T000385,U002910,2026-01-25 20:13:00,payment,high,10.22,5.0
T000386,U002918,2026-03-27 13:14:00,refund,low,13.88,5.0
T000387,U002926,2026-03-03 15:37:00,payment,medium,30.9,5.0
T000388,U002932,2026-07-03 20:18:00,technical_issue,high,26.84,4.0
T000389,U002938,2026-04-02 10:35:00,account,high,15.29,3.0
T000390,U002945,2026-05-13 14:31:00,technical_issue,medium,11.37,4.0
T000391,U002951,2026-05-27 09:48:00,account,low,7.93,3.0
T000392,U002964,2026-07-14 22:43:00,refund,low,7.48,3.0
T000393,U002972,2026-01-15 14:04:00,course_content,medium,12.92,5.0
T000394,U002978,2026-05-27 11:09:00,account,low,27.46,4.0
T000395,U002978,2026-06-05 18:27:00,payment,medium,4.01,4.0
T000396,U002986,2026-02-22 16:34:00,refund,medium,25.9,3.0
